TRGID,UPC,Title,ProgramName,MasterProgramName,CategoryName,Manufacturer,LocationNotListable,ProductStatus,MR_LMR_UPC_AverageCategoryRetail,UPCRetail,Classification_PHYSICAL CONDITION,Classification_CONDITION,Classification_TECHNICAL FUNCTIONALITY,PalletLocationID,RTVType,Tag_NotListedReason,Tag_VenueExclusivity,Serialized,FirstStoredOnListableLocationOn
TRG00021,00100000021,Item 21 TVs,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),TVs,HP,FALSE,Active,$229.20,$254.48,Fair,C,Functional,,,,,N,2026-09-03
TRG00022,00100000022,Item 22 Tablets,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Tablets,HP,FALSE,Active,$208.64,$104.09,Fair,C,Functional,,RTV Liquidate,,,N,2026-08-31
TRG00023,00100000023,Item 23 Headphones,DALLX-HEADPHONES,Warehouse Direct,Headphones,Samsung,FALSE,Active,$230.90,$195.96,Very Good,C,Functional,,,,,N,2026-08-12
TRG00024,00100000024,Item 24 Tablets,WFS-OVERFLOW,Open Box Returns,Tablets,Samsung,FALSE,Active,$143.69,$47.40,Damaged,C,Functional,PAL-68,,,,N,2026-08-26
TRG00025,00100000025,Item 25 Monitors,WFS-OVERFLOW,Specialty,Monitors,HP,TRUE,Active,$222.20,$231.09,Good,A,Functional,PAL-8,,,,N,2026-09-03
TRG00026,00100000026,Item 26 Monitors,BRTON-WM-BAR,Open Box Returns,Monitors,Sony,FALSE,Active,$177.99,$87.55,Very Good,A,Functional,,Non RTV,,,N,2026-08-25
TRG00027,00100000027,Item 27 Computers,PHXAZ-RETURNS,Walmart Monitors (Finished),Computers,Lenovo,FALSE,Active,$52.93,$37.96,Good,A,Functional,,Non RTV,,,N,2026-08-19
TRG00028,00100000028,Item 28 Monitors,MIAFL-HEAD-OFFICE,Walmart Finished Goods Wide Sku (Finished),Monitors,Sony,TRUE,Active,$84.98,$218.52,Good,A,Functional,,,,,N,2026-08-26
TRG00029,00100000029,Item 29 Headphones,MILON-WM-DOTCA-RTV,Open Box Returns,Headphones,Sony,FALSE,Active,$85.44,$214.84,Good,B,Functional,PAL-12,RTV Liquidate,,,N,2026-08-15
TRG00030,00100000030,Item 30 Monitors,BRTON-WM-BAR,Warehouse Direct,Monitors,Lenovo,FALSE,Active,$50.35,$108.31,Damaged,A,Functional,PAL-77,Non RTV,,,N,2026-09-04
TRG00031,00100000031,Item 31 Monitors,BRTON-WM-BAR,Specialty,Monitors,Samsung,FALSE,Active,$258.90,$80.80,Fair,B,Functional,,RTV,,,N,2026-08-25
TRG00032,00100000032,Item 32 Tablets,BRTON-WM-BAR,Warehouse Direct,Tablets,HP,FALSE,Active,$146.74,$90.52,Good,C,Functional,PAL-42,,,,N,2026-08-26
TRG00033,00100000033,Item 33 Computers,BRTON-WM-BAR,Walmart Monitors (Finished),Computers,Samsung,FALSE,Active,$218.22,$42.90,Fair,B,Functional,PAL-73,,,,N,2026-08-30
TRG00034,00100000034,Item 34 Computers,PHXAZ-RETURNS,Walmart Monitors (Finished),Computers,Samsung,FALSE,Active,$199.67,$253.47,Fair,C,Functional,PAL-56,,,,Y,2026-08-17
TRG00034,00100000034,Item 34 duplicate last,PHXAZ-RETURNS,Walmart Monitors (Finished),Computers,Dell,FALSE,Active,$199.67,$253.47,Fair,C,Functional,PAL-56,,,,N,2026-08-17
TRG00035,00100000035,Item 35 Headphones,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Lenovo,FALSE,Active,$170.92,$256.94,Very Good,A,Functional,,RTV Liquidate,,,Y,2026-09-09
TRG00036,00100000036,Item 36 Tablets,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Lenovo,FALSE,Active,$256.53,$265.07,Damaged,C,Functional,,,,,Y,2026-09-14
TRG00037,00100000037,Item 37 Accessories,BRTON-LENOVO-DC-400,Walmart Computer Parts (Finished),Accessories,Sony,TRUE,Active,$210.74,$108.63,Very Good,C,Functional,,RTV Liquidate,,,N,2026-09-09
TRG00038,00100000038,Item 38 Tablets,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),Tablets,Dell,TRUE,Active,$179.79,$263.87,Damaged,C,Functional,PAL-20,,,,N,2026-08-22
TRG00039,00100000039,Item 39 Monitors,MILON-WM-DOTCA-RTV,Walmart Finished Goods Wide Sku (Finished),Monitors,Dell,FALSE,Active,$178.86,$105.63,Fair,C,Functional,,RTV Liquidate,,,N,2026-08-25
TRG00040,00100000040,Item 40 Tablets,BRTON-WM-FOO,Specialty,Tablets,Sony,FALSE,Active,$169.54,$70.57,Good,C,Functional,,,,,N,2026-09-15
TRG00041,00100000041,Item 41 Monitors,DS-MONTERREY,Walmart Monitors (Finished),Monitors,Dell,FALSE,Active,$61.02,$248.30,Good,B,Functional,,RTV,,,N,2026-08-06
TRG00042,00100000042,Item 42 Headphones,WFS-OVERFLOW,Walmart Computer Parts (Finished),Headphones,Samsung,FALSE,Active,$183.59,$41.98,Fair,C,Functional,,RTV Liquidate,,,N,2026-08-31
TRG00043,00100000043,Item 43 Monitors,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),Monitors,Sony,FALSE,Active,$243.13,$256.40,Fair,B,Functional,PAL-57,Non RTV,,,N,2026-08-23
TRG00044,00100000044,Item 44 Headphones,MILON-WM-DOTCA-RTV,Specialty,Headphones,Dell,FALSE,Active,$73.17,$106.77,Fair,C,Functional,,Non RTV,,,N,2026-09-15
TRG00045,00100000045,Item 45 TVs,WFS-OVERFLOW,Warehouse Direct,TVs,HP,FALSE,Active,$125.76,$82.05,Damaged,B,Functional,PAL-76,,,,N,2026-08-17
TRG00046,00100000046,Item 46 TVs,DALLX-HEADPHONES,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,Samsung,FALSE,Active,$235.48,$170.96,Very Good,B,Functional,,,,,N,2026-09-10
TRG00047,00100000047,Item 47 Headphones,WFS-OVERFLOW,Specialty,Headphones,Samsung,FALSE,Active,$44.17,$60.03,Very Good,A,Functional,PAL-57,Non RTV,,,N,2026-09-01
TRG00048,00100000048,Item 48 TVs,BRTON-WM-FOO,Specialty,TVs,HP,FALSE,Active,$175.50,$142.27,Good,A,Functional,,,,,N,2026-09-08
TRG00049,00100000049,Item 49 Headphones,MILON-WM-DOTCA-RTV,Warehouse Direct,Headphones,Samsung,FALSE,Active,$246.87,$127.26,Good,C,Functional,,RTV Liquidate,,,Y,2026-08-21
TRG00050,00100000050,Item 50 Computers,BRTON-WM-FOO,Open Box Returns,Computers,Dell,FALSE,Active,$155.69,$192.02,Damaged,C,Functional,,RTV Liquidate,,,N,2026-08-27
TRG00051,00100000051,Item 51 Tablets,MILON-WM-DOTCA-RTV,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Samsung,FALSE,Active,$113.93,$184.78,Damaged,A,Functional,,,,,N,2026-09-10
TRG00051,00100000051,Item 51 duplicate last,MILON-WM-DOTCA-RTV,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Dell,FALSE,Active,$113.93,$184.78,Damaged,A,Functional,,,,,N,2026-09-10
TRG00052,00100000052,Item 52 Monitors,PHXAZ-RETURNS,Specialty,Monitors,Sony,FALSE,Active,$49.31,$67.09,Good,B,Functional,,,,,N,2026-08-07
TRG00053,00100000053,Item 53 Accessories,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),Accessories,HP,FALSE,Active,$104.13,$170.22,Good,C,Functional,,RTV Liquidate,,,Y,2026-08-16
TRG00054,00100000054,Item 54 Tablets,MILON-WM-DOTCA-RTV,Walmart Computer Parts (Finished),Tablets,Dell,FALSE,Active,$225.40,$82.69,Very Good,B,Functional,PAL-50,Non RTV,,,N,2026-09-14
TRG00055,00100000055,Item 55 Headphones,BRTON-WM-FOO,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Lenovo,FALSE,Active,$67.38,$75.60,Damaged,C,Functional,PAL-77,Non RTV,,,N,2026-09-03
TRG00056,00100000056,Item 56 Monitors,BRTON-WM-BAR,Specialty,Monitors,Sony,FALSE,Active,$245.03,$84.37,Good,C,Functional,PAL-1,RTV Liquidate,,,N,2026-08-11
TRG00057,00100000057,Item 57 Tablets,BRTON-WM-FOO,Specialty,Tablets,Samsung,FALSE,Active,$121.26,$48.67,Damaged,C,Functional,PAL-68,,,,N,2026-08-17
TRG00058,00100000058,Item 58 Computers,BRTON-WM-FOO,Open Box Returns,Computers,Sony,FALSE,Active,$209.06,$65.37,Very Good,A,Functional,,RTV Liquidate,,,N,2026-08-20
TRG00059,00100000059,Item 59 Monitors,WFS-OVERFLOW,Specialty,Monitors,Lenovo,FALSE,Active,$131.84,$223.96,Very Good,A,Functional,,,,,Y,2026-08-15
TRG00060,00100000060,Item 60 Monitors,BRTON-WM-BAR,Walmart Monitors (Finished),Monitors,Sony,FALSE,Active,$134.39,$203.84,Fair,B,Functional,,,,,N,2026-08-09
TRG00061,00100000061,Item 61 Tablets,MIAFL-HEAD-OFFICE,Walmart Headphones & Speakers (Not Apple) (Finished),Tablets,Lenovo,FALSE,Active,$82.83,$264.94,Very Good,C,Functional,,,,,Y,2026-09-12
TRG00062,00100000062,Item 62 TVs,PHXAZ-RETURNS,Open Box Returns,TVs,Samsung,FALSE,Active,$118.17,$259.74,Damaged,C,Functional,,RTV Liquidate,,,N,2026-08-08
TRG00063,00100000063,Item 63 TVs,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),TVs,Samsung,FALSE,Active,$48.42,$221.40,Fair,B,Functional,PAL-57,Non RTV,,,N,2026-08-09
TRG00064,00100000064,Item 64 TVs,WFS-OVERFLOW,Walmart Monitors (Finished),TVs,Samsung,FALSE,Active,$145.92,$118.21,Damaged,A,Functional,,,,,N,2026-08-30
TRG00065,00100000065,Item 65 Headphones,DALLX-HEADPHONES,Specialty,Headphones,HP,FALSE,Active,$257.47,$238.87,Fair,B,Functional,,,,,N,2026-09-12
TRG00066,00100000066,Item 66 Monitors,BRTON-WM-BAR,Walmart Computer Parts (Finished),Monitors,Lenovo,TRUE,Active,$78.00,$121.94,Very Good,C,Functional,PAL-59,Non RTV,,,N,2026-09-14
TRG00067,00100000067,Item 67 Headphones,BRTON-WM-BAR,Open Box Returns,Headphones,Lenovo,FALSE,Active,$147.66,$90.61,Fair,A,Functional,PAL-58,RTV Liquidate,,,N,2026-08-31
TRG00068,00100000068,Item 68 Monitors,WFS-OVERFLOW,Specialty,Monitors,Dell,FALSE,Active,$58.94,$240.20,Damaged,A,Functional,,RTV Liquidate,,,N,2026-09-04
TRG00068,00100000068,Item 68 duplicate last,WFS-OVERFLOW,Specialty,Monitors,Dell,FALSE,Active,$58.94,$240.20,Damaged,A,Functional,,RTV Liquidate,,,N,2026-09-04
TRG00069,00100000069,Item 69 Accessories,DALLX-HEADPHONES,Walmart Monitors (Finished),Accessories,Dell,FALSE,Active,$103.31,$261.94,Fair,B,Functional,,Non RTV,,,Y,2026-09-14
TRG00070,00100000070,Item 70 TVs,MILON-WM-DOTCA-RTV,Walmart Finished Goods Wide Sku (Finished),TVs,HP,FALSE,Active,$85.65,$84.07,Damaged,B,Functional,,Non RTV,,,N,2026-09-11
TRG00071,00100000071,Item 71 Headphones,BRTON-WM-BAR,Walmart Monitors (Finished),Headphones,Sony,FALSE,Active,$147.76,$188.39,Fair,C,Functional,,,,,Y,2026-08-14
TRG00072,00100000072,Item 72 Accessories,DALLX-HEADPHONES,Walmart Computers Parts (Finished),Accessories,HP,FALSE,Active,$46.43,$149.75,Damaged,B,Functional,,Non RTV,,,N,2026-08-08
TRG00073,00100000073,Item 73 Accessories,PHXAZ-RETURNS,Walmart Monitors (Finished),Accessories,Samsung,FALSE,Active,$155.14,$49.40,Good,C,Functional,PAL-1,RTV Liquidate,,,Y,2026-08-17
TRG00074,00100000074,Item 74 Monitors,BRTON-LENOVO-DC-400,Walmart Finished Goods Wide Sku (Finished),Monitors,Dell,FALSE,Active,$228.83,$248.85,Damaged,B,Functional,,,,,Y,2026-09-03
TRG00075,00100000075,Item 75 TVs,PHXAZ-RETURNS,Walmart Monitors (Finished),TVs,Sony,FALSE,Active,$93.38,$220.92,Very Good,B,Functional,,RTV Liquidate,,,N,2026-08-08
TRG00076,00100000076,Item 76 Tablets,MIAFL-HEAD-OFFICE,Specialty,Tablets,HP,FALSE,Active,$239.08,$119.92,Good,B,Functional,,,,,N,2026-08-28
TRG00077,00100000077,Item 77 TVs,BRTON-WM-BAR,Specialty,TVs,Lenovo,FALSE,Active,$81.73,$256.40,Very Good,A,Functional,,RTV,,,N,2026-09-14
TRG00078,00100000078,Item 78 TVs,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),TVs,Samsung,FALSE,Active,$224.29,$196.90,Good,A,Functional,,RTV Liquidate,,,N,2026-09-04
TRG00079,00100000079,Item 79 Monitors,MILON-WM-DOTCA-RTV,Walmart Computers Parts (Finished),Monitors,Samsung,FALSE,Active,$197.34,$74.14,Fair,C,Functional,,RTV Liquidate,,,N,2026-08-14
TRG00080,00100000080,Item 80 Monitors,BRTON-WM-FOO,Walmart Computer Parts (Finished),Monitors,Lenovo,FALSE,Active,$56.82,$38.25,Good,C,Functional,PAL-51,Non RTV,,,N,2026-08-13
TRG00081,00100000081,Item 81 Monitors,PHXAZ-RETURNS,Walmart Finished Goods Wide Sku (Finished),Monitors,Sony,FALSE,Active,$254.31,$158.48,Damaged,B,Functional,PAL-56,,,,Y,2026-08-08
TRG00082,00100000082,Item 82 Monitors,DS-MONTERREY,Walmart Computers Parts (Finished),Monitors,Dell,FALSE,Active,$145.79,$126.83,Fair,B,Functional,,Non RTV,,,N,2026-08-19
TRG00083,00100000083,Item 83 Computers,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Computers,Dell,FALSE,Active,$178.60,$129.98,Good,C,Functional,PAL-35,RTV Liquidate,,,N,2026-08-31
TRG00084,00100000084,Item 84 Monitors,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Monitors,Samsung,FALSE,Active,$147.89,$84.47,Very Good,A,Functional,,Non RTV,,,N,2026-08-21
TRG00085,00100000085,Item 85 TVs,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),TVs,Dell,FALSE,Active,$221.31,$188.88,Good,B,Functional,,Research,,,Y,2026-08-24
TRG00085,00100000085,Item 85 duplicate last,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),TVs,Dell,FALSE,Active,$221.31,$188.88,Good,B,Functional,,Research,,,N,2026-08-24
TRG00086,00100000086,Item 86 Monitors,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Monitors,Lenovo,FALSE,Active,$221.42,$179.26,Good,C,Functional,,,,,N,2026-08-21
TRG00087,00100000087,Item 87 Monitors,MIAFL-HEAD-OFFICE,Open Box Returns,Monitors,HP,FALSE,Active,$146.43,$161.50,Fair,C,Functional,PAL-10,RTV Liquidate,,,N,2026-08-17
TRG00088,00100000088,Item 88 Tablets,MILON-WM-DOTCA-RTV,Warehouse Direct,Tablets,Lenovo,TRUE,Active,$63.46,$43.04,Very Good,C,Functional,,Non RTV,,,N,2026-08-23
TRG00089,00100000089,Item 89 Headphones,BRTON-WM-FOO,Warehouse Direct,Headphones,Samsung,FALSE,Active,$200.96,$233.82,Good,A,Functional,,RTV Liquidate,,,N,2026-08-18
TRG00090,00100000090,Item 90 Monitors,MIAFL-HEAD-OFFICE,Walmart Monitors (Finished),Monitors,Dell,FALSE,Active,$74.93,$42.97,Damaged,A,Functional,,Non RTV,,,Y,2026-08-06
TRG00091,00100000091,Item 91 Headphones,DALLX-HEADPHONES,Walmart Headphones & Speakers (Not Apple) (Finished),Headphones,Dell,FALSE,Active,$143.80,$120.22,Damaged,B,Functional,,,,,Y,2026-08-09
TRG00092,00100000092,Item 92 TVs,BRTON-WM-FOO,Walmart Computer Parts (Finished),TVs,Lenovo,FALSE,Active,$129.15,$211.11,Good,B,Functional,,Non RTV,,,N,2026-08-10
TRG00093,00100000093,Item 93 Accessories,BRTON-WM-FOO,Walmart Computer Parts (Finished),Accessories,Lenovo,FALSE,Active,$131.00,$54.57,Fair,A,Functional,,,,,N,2026-09-07
TRG00094,00100000094,Item 94 TVs,WFS-OVERFLOW,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,HP,FALSE,Active,$123.60,$255.49,Damaged,B,Functional,PAL-15,RTV Liquidate,,,N,2026-08-13
TRG00095,00100000095,Item 95 Accessories,DALLX-HEADPHONES,Walmart Monitors (Finished),Accessories,Sony,FALSE,Active,$60.71,$222.06,Good,C,Functional,,RTV,,,N,2026-08-27
TRG00096,00100000096,Item 96 Tablets,PHXAZ-RETURNS,Specialty,Tablets,Dell,FALSE,Active,$253.10,$218.11,Good,B,Functional,PAL-64,,,,N,2026-08-29
TRG00097,00100000097,Item 97 Accessories,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Accessories,Samsung,FALSE,Active,$74.70,$159.16,Damaged,C,Functional,PAL-58,Non RTV,,,N,2026-08-11
TRG00098,00100000098,Item 98 TVs,PHXAZ-RETURNS,Walmart Headphones & Speakers (Not Apple) (Finished),TVs,Samsung,FALSE,Active,$69.80,$142.95,Good,C,Functional,,RTV Approved,,,N,2026-08-08
TRG00099,00100000099,Item 99 Headphones,WFS-OVERFLOW,Warehouse Direct,Headphones,Samsung,FALSE,Active,$105.38,$58.27,Damaged,C,Functional,,Non RTV,,,N,2026-09-12
TRG00100,00100000100,Item 100 Tablets,DALLX-HEADPHONES,Walmart Monitors (Finished),Tablets,Lenovo,FALSE,Active,$115.62,$239.94,Good,A,Functional,,Non RTV,,,N,2026-08-28
TRG00101,00100000101,Item 101 TVs,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),TVs,Lenovo,FALSE,Active,$120.65,$61.21,Good,A,Functional,PAL-22,Non RTV,,,N,2026-08-13
TRG00102,00100000102,Item 102 TVs,DALLX-HEADPHONES,Specialty,TVs,Dell,FALSE,Active,$236.14,$151.85,Damaged,B,Functional,,Non RTV,,,Y,2026-08-12
TRG00102,00100000102,Item 102 duplicate last,DALLX-HEADPHONES,Specialty,TVs,Dell,FALSE,Active,$236.14,$151.85,Damaged,B,Functional,,Non RTV,,,N,2026-08-12
TRG00103,00100000103,Item 103 Tablets,BRTON-WM-FOO,Warehouse Direct,Tablets,Samsung,FALSE,Active,$65.93,$230.22,Very Good,C,Functional,,Non RTV,,,N,2026-08-19
TRG00104,00100000104,Item 104 Monitors,BRTON-WM-FOO,Walmart Monitors (Finished),Monitors,Sony,FALSE,Active,$145.26,$196.17,Damaged,B,Functional,,Research,,,N,2026-08-09
TRG00105,00100000105,Item 105 TVs,PHXAZ-RETURNS,Warehouse Direct,TVs,HP,TRUE,Active,$229.00,$153.45,Damaged,C,Functional,,RTV Approved,,,Y,2026-08-06
TRG00106,00100000106,Item 106 Computers,MILON-WM-DOTCA-RTV,Walmart Headphones & Speakers (Not Apple) (Finished),Computers,HP,FALSE,Active,$241.93,$245.26,Damaged,B,Functional,,Non RTV,,,N,2026-08-07
TRG00107,00100000107,Item 107 Accessories,MILON-WM-DOTCA-RTV,Walmart Monitors (Finished),Accessories,HP,FALSE,Active,$91.79,$224.79,Fair,B,Functional,,RTV Liquidate,,,Y,2026-09-11
TRG00108,00100000108,Item 108 Computers,MIAFL-HEAD-OFFICE,Warehouse Direct,Computers,Dell,FALSE,Active,$70.68,$188.47,Fair,A,Functional,,RTV Liquidate,,,Y,2026-08-20
TRG00109,00100000109,Item 109 Headphones,PHXAZ-RETURNS,Walmart Computers Parts (Finished),Headphones,HP,FALSE,Active,$244.00,$40.51,Good,A,Functional,PAL-52,RTV,,,N,2026-09-07
TRG00110,00100000110,Item 110 Tablets,PHXAZ-RETURNS,Warehouse Direct,Tablets,Lenovo,FALSE,Active,$56.90,$181.32,Good,A,Functional,,,,,N,2026-09-13
TRG00111,00100000111,Item 111 Computers,BRTON-LENOVO-DC-400,Walmart Computers Parts (Finished),Computers,Lenovo,FALSE,Active,$54.98,$229.70,Good,C,Functional,,RTV Liquidate,,,N,2026-08-23
TRG00112,00100000112,Item 112 Headphones,MIAFL-HEAD-OFFICE,Specialty,Headphones,Samsung,TRUE,Active,$189.56,$204.26,Good,C,Functional,,Non RTV,,,N,2026-09-02
TRG00113,00100000113,Item 113 Accessories,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Accessories,HP,FALSE,Active,$99.18,$163.70,Fair,A,Functional,PAL-16,RTV Liquidate,,,N,2026-08-19
TRG00114,00100000114,Item 114 TVs,BRTON-WM-FOO,Walmart Computers Parts (Finished),TVs,Dell,FALSE,Active,$110.23,$43.57,Fair,C,Functional,PAL-14,,,,N,2026-08-30
TRG00115,00100000115,Item 115 Tablets,MIAFL-HEAD-OFFICE,Walmart Computers Parts (Finished),Tablets,Samsung,TRUE,Active,$109.94,$45.62,Very Good,C,Functional,,,,,N,2026-08-25
TRG00116,00100000116,Item 116 Monitors,WFS-OVERFLOW,Open Box Returns,Monitors,Samsung,FALSE,Active,$238.80,$38.91,Damaged,B,Functional,,RTV Liquidate,,,N,2026-08-22
TRG00117,00100000117,Item 117 Headphones,BRTON-WM-BAR,Walmart Monitors (Finished),Headphones,Lenovo,FALSE,Active,$81.29,$201.43,Fair,B,Functional,PAL-22,,,,N,2026-08-19
TRG00118,00100000118,Item 118 TVs,BRTON-WM-BAR,Walmart Finished Goods Wide Sku (Finished),TVs,Sony,FALSE,Active,$96.08,$40.52,Damaged,B,Functional,,RTV Liquidate,,,N,2026-08-29
TRG00119,00100000119,Item 119 Headphones,WFS-OVERFLOW,Specialty,Headphones,Samsung,FALSE,Active,$199.79,$41.91,Fair,B,Functional,PAL-70,Research,,,Y,2026-09-05
TRG00119,00100000119,Item 119 duplicate last,WFS-OVERFLOW,Specialty,Headphones,Dell,FALSE,Active,$199.79,$41.91,Fair,B,Functional,PAL-70,Research,,,N,2026-09-05
TRG00120,00100000120,Item 120 Accessories,DALLX-HEADPHONES,Walmart Finished Goods Wide Sku (Finished),Accessories,Dell,FALSE,Active,$199.74,$184.78,Damaged,A,Functional,PAL-66,RTV Approved,,,Y,2026-08-06
TRG00121,00100000121,Item 121 Accessories,BRTON-WM-BAR,Warehouse Direct,Accessories,Sony,FALSE,Active,$233.08,$256.11,Damaged,C,Functional,PAL-2,RTV Liquidate,,,Y,2026-08-21
TRG00122,00100000122,Item 122 Monitors,MIAFL-HEAD-OFFICE,Walmart Computer Parts (Finished),Monitors,Sony,FALSE,Active,$130.51,$70.75,Damaged,C,Functional,,Non RTV,,,N,2026-09-05
TRG00123,00100000123,Item 123 Monitors,DS-MONTERREY,Specialty,Monitors,Sony,FALSE,Active,$78.65,$86.23,Damaged,B,Functional,PAL-17,Non RTV,,,N,2026-08-10
TRG00124,00100000124,Item 124 Accessories,PHXAZ-RETURNS,Open Box Returns,Accessories,Samsung,FALSE,Active,$82.93,$147.24,Very Good,C,Functional,,RTV Liquidate,,,N,2026-08-19
